epoch,kl_weight,lr,kl_loss,recon_loss,loss,mode
0,0.0,0.00030000000000000003,746.4240534057617,0.5221464112699031,0.5221464112699031,Train
0,0.0,0.0,775.7025467628656,0.47005821279315063,0.47005821279315063,Eval
1,0.0005,0.00030000000000000003,83.06495776367187,0.3601334074437618,0.4016658887863159,Train
1,0.0005,0.0,80.7280262126479,0.3824350138216518,0.4227990288027497,Eval
2,0.001,0.00030000000000000003,52.354453300476074,0.2818222884237766,0.33417674496769906,Train
2,0.001,0.0,49.94945166831793,0.33518332017715585,0.38513277419084724,Eval
3,0.0015,0.00030000000000000003,39.776410232543945,0.23482551668584348,0.2944901323914528,Train
3,0.0015,0.0,40.48151238020076,0.33438141522712483,0.39510368391178374,Eval
4,0.002,0.00030000000000000003,34.58690309524536,0.197995365858078,0.26716917525231837,Train
4,0.002,0.0,34.00735798547434,0.24374529351155425,0.3117600130133851,Eval
5,0.0025,0.00030000000000000003,30.290696098327636,0.17446966518461704,0.250196403503418,Train
5,0.0025,0.0,30.292543472245683,0.18523287391939827,0.2609642311324214,Eval
6,0.003,0.00030000000000000003,27.889337882995605,0.1484043978303671,0.23207241225242614,Train
6,0.003,0.0,27.032041200371676,0.15832169360459544,0.23941781774683055,Eval
7,0.0035,0.00030000000000000003,25.7379368057251,0.13114758226275444,0.2212303636521101,Train
7,0.0035,0.0,25.800983966783036,0.20937226023958172,0.2996757082034682,Eval
8,0.004,0.00030000000000000003,25.17008160018921,0.11603114189952612,0.21671147336065769,Train
8,0.004,0.0,25.173577020334644,0.13318542077011147,0.23387973365742107,Eval
9,0.0045000000000000005,0.00030000000000000003,24.69946828842163,0.10752974208444357,0.21867734490334986,Train
9,0.0045000000000000005,0.0,24.689227797264277,0.12088870200826678,0.23199022188782692,Eval
10,0.005,0.00030000000000000003,24.223497333526613,0.10240815484523773,0.22352563893795013,Train
10,0.005,0.0,24.10581498922304,0.11552229956832043,0.2360513727938713,Eval
